		Risultati Incontri									
		22a di Serie A									
		Campionato: 18a Camp. (Ritorno)									
		Arte Della Topa						Roca Junior			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SKORUPSKI Lukasz	5	-4	1		P	BUFFON Gianluigi	7	0	7
	D	FERRARI Giammarco	6	0	6		D	ASTORI Davide	5,5	-0,5	5
	D	MASINA Adam	6	0	6		D	OLIVERA Maximiliano	5	-0,5	4,5
	D	RUDIGER Antonio	5	-0,5	4,5		D	SAMIR Caetano de Souza	6	-0,5	5,5
	C	BIGLIA Lucas Rodrigo	5,5	0	5,5		C	GOMEZ Alejandro	6,5	0	6,5
	C	FOFANA Seko	6	0	6		C	KHEDIRA Sami	6,5	3	9,5
	C	NAINGGOLAN Radja	6,5	0	6,5		C	LJAJIC Adem	6,5	0	6,5
	C	TORREIRA Lucas	6,5	-0,5	6		C	MILINKOVIC-SAVIC Sergej	5,5	-0,5	5
	C	VECINO Matias	6	0	6		A	BERARDI Domenico	5	0	5
	A	DESTRO Mattia	6,5	3	9,5		A	INSIGNE Lorenzo	6	0	6
	A	MURIEL Luis Fernando	8	4	12		A	SIMEONE Giovanni	7,5	5,5	13
				Parziale squadra	69					Parziale squadra	73,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0,5
				Modificatore difesa	0,5					Modificatore difesa	0,5
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore attacco	0					Modificatore attacco	0
				Modificatore modulo	1					Modificatore modulo	0,5
				Totale squadra	72,5					Totale squadra	75
				Gol	2					Gol	2
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	P	RAFAEL De Andrade Bittencourt	6	-1	5		A	GIANNETTI Niccolo'	sv/ng	0	sv/ng
	D	ROMAGNOLI Alessio	6	-0,5	5,5		A	RICCI Federico	sv/ng	0	sv/ng
	D	JUAN JESUS Guilherme	sv/ng	0	sv/ng		C	BADELJ Milan	5,5	-0,5	5
	D	CASTAN Leandro da Silva	sv/ng	0	sv/ng		C	CRISTOFORO Sebastian	6	0	6
	C	PAREDES Leandro	sv/ng	0	sv/ng		C	HALLFREDSSON Emil	7	1	8
	C	JANKTO Jakub	7	1	8		C	BRUNO HENRIQUE Corsini	6	-0,5	5,5
	C	BENASSI Marco	6	0	6		D	EDENILSON Andrade dos Santos	sv/ng	0	sv/ng
	C	CATALDI Danilo	sv/ng	0	sv/ng		D	GOBBI Massimo	6	1	7
	A	SCHICK Patrik	7,5	3	10,5		D	CRESCENZI Alessandro	6	0	6
	A	BABACAR Khouma Elhadji	sv/ng	0	sv/ng		P	NETO Murara Norberto	sv/ng	0	sv/ng
	A	INGLESE Roberto	7,5	3	10,5		A	HAGI Ianis	sv/ng	0	sv/ng
	D	MARIO RUI Duarte	sv/ng	0	sv/ng		A	LOPEZ Maximiliano Gaston	sv/ng	0	sv/ng
	p	ALISSON	sv/ng	0	sv/ng		p	AUDERO Emil	sv/ng	0	sv/ng
	p	GABRIEL Vasconcellos Ferreira	sv/ng	0	sv/ng		d	ANSALDI Cristian	sv/ng	0	sv/ng
	d	KOULIBALY Kalidou	sv/ng	0	sv/ng		d	CESAR Bostjan	sv/ng	0	sv/ng
	d	OIKONOMOU Marios	6	0	6		d	FLORENZI Alessandro	sv/ng	0	sv/ng
	d	RODRIGUEZ Gonzalo Javier	sv/ng	0	sv/ng		d	MILIC Hrvoje	sv/ng	0	sv/ng
	a	TOLEDO Hernan	sv/ng	0	sv/ng		c	OBI Joel	6,5	0	6,5
							c	RIGONI Luca	sv/ng	0	sv/ng
							a	MEGGIORINI Riccardo	sv/ng	0	sv/ng
											
		Campionato: 18a Camp. (Ritorno)									
		CassaintegratiFincantieri						Burak Black Cocks			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SZCZESNY Wojciech	6,5	-3	3,5		P	CONSIGLI Andrea	6,5	-2	4,5
	D	CECCHERINI Federico	6	-0,5	5,5		D	BIRAGHI Cristiano	5	-0,5	4,5
	D	D'AMBROSIO Danilo	6,5	3	9,5		D	LICHTSTEINER Stephan	6,5	0	6,5
	D	DE VRIJ Stefan	5,5	0	5,5		D	RISPOLI Andrea	6	1	7
	D	GHOULAM Faouzi	5,5	0	5,5		C	CUADRADO Juan Guillermo	7	0	7
	C	AQUILANI Alberto	5,5	0	5,5		C	IAGO FALQUE Silva	6	3	9
	C	LAZOVIC Darko	6	0	6		C	JOAO MARIO Naval	7	3	10
	C	PEROTTI Diego	5,5	0	5,5		C	LULIC Senad	5,5	-0,5	5
	C	SANCHEZ Carlos	5	0	5		C	MERTENS Dries	6,5	3	9,5
	A	DEULOFEU Gerard	6,5	0	6,5		A	GABIGOL Barbosa Alemida	6,5	0	6,5
	A	ICARDI Mauro Emanuel	6,5	1	7,5		A	ZAPATA Duvan	5	0	5
				Parziale squadra	65,5					Parziale squadra	74,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0,5					Modificatore portiere	0,5
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	-1,5					Modificatore centrocampo	1,5
				Modificatore attacco	1					Modificatore attacco	0,5
				Modificatore modulo	0,5					Modificatore modulo	0
				Totale squadra	68					Totale squadra	77
				Gol	1					Gol	3
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	A	LOMBARDI Cristiano	5,5	0	5,5		A	BAHEBECK Jean-Cristophe	5,5	0	5,5
	A	PALACIO Rodrigo Sebastian	sv/ng	0	sv/ng		A	TOTTI Francesco	6,5	-0,5	6
	A	BUDIMIR Ante	sv/ng	0	sv/ng		C	DIAWARA Amadou	sv/ng	0	sv/ng
	P	POSAVEC Josip	6,5	-1	5,5		C	BARBERIS Andrea	6,5	0	6,5
	D	DE SCIGLIO Mattia	5,5	0	5,5		C	GIACCHERINI Emanuele	sv/ng	0	sv/ng
	D	ADNAN Ali	6	0	6		C	DUNCAN Joseph Alfred	5,5	0	5,5
	D	MBAYE Ibrahima	sv/ng	0	sv/ng		D	WALLACE Fortuna dos Santos	sv/ng	0	sv/ng
	C	PADOIN Simone	sv/ng	0	sv/ng		D	MAIETTA Domenico	6	-0,5	5,5
	C	GRASSI Alberto	5,5	0	5,5		D	BURDISSO Nicolas Andres	5,5	-0,5	5
	C	BUCHEL Marcel	sv/ng	0	sv/ng		A	EWANDRO	sv/ng	0	sv/ng
	A	DJURICIC Filip	sv/ng	0	sv/ng		C	PEPE Simone	sv/ng	0	sv/ng
	C	CRISETIG Lorenzo	6,5	0	6,5		P	PEGOLO Gianluca	sv/ng	0	sv/ng
	p	FULIGNATI Andrea	sv/ng	0	sv/ng		p	POMINI Alberto	sv/ng	0	sv/ng
	c	CASTRO Lucas Nahuel	sv/ng	0	sv/ng		d	BASTOS Jacinto	sv/ng	0	sv/ng
	c	TELLO Andres	sv/ng	0	sv/ng		d	GOLDANIGA Edoardo	6,5	-1	5,5
	a	CAPRARI Gianluca	sv/ng	0	sv/ng		d	LIROLA Pol	sv/ng	0	sv/ng
	a	GERSON	sv/ng	0	sv/ng		d	WIDMER Silvan	sv/ng	0	sv/ng
							a	KEAN Moise	sv/ng	0	sv/ng
							a	LATTE Emmanuel	sv/ng	0	sv/ng
											
		Campionato: 18a Camp. (Ritorno)									
		Guffinz SPA						Augusta Romulea FC			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	STRAKOSHA Thomas	5	-1	4		P	BERISHA Etrit	6	-1	5
	D	DIMARCO Federico	5,5	0	5,5		D	ACERBI Francesco	5	0	5
	D	EMERSON Palmieri	6,5	1	7,5		D	CANNAVARO Paolo	5	0	5
	D	SKRINIAR Milan	5	0	5		D	ZUKANOVIC Ervin	5,5	0	5,5
	DR	MARTELLA Bruno	6,5	0	6,5		C	ANDERSON Felipe	7	0	7
	C	BERNARDESCHI Federico	6	-1	5		C	BASELLI Daniele	4,5	0	4,5
	C	LAXALT Diego Sebastian	5,5	-0,5	5		C	DESSENA Daniele	6	0	6
	C	LINETTY Karol	6	0	6		C	KREJCI Ladislav	7	1	8
	C	POLITANO Matteo	6	-0,5	5,5		C	VERDI Simone	6,5	0	6,5
	C	TACHTSIDIS Panagiotis	6	-0,5	5,5		A	BORRIELLO Marco	7	3	10
	A	CALLEJON Jose Maria	6	0	6		A	FALCINELLI Diego	8,5	8,5	17
				Parziale squadra	61,5					Parziale squadra	79,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	1,5					Modificatore difesa	0
				Modificatore centrocampo	-0,5					Modificatore centrocampo	0,5
				Modificatore attacco	0					Modificatore attacco	0
				Modificatore modulo	0,5					Modificatore modulo	-0,5
				Totale squadra	65					Totale squadra	79,5
				Gol	0					Gol	3
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	LETSCHERT Timo	sv/ng	0	sv/ng		C	DIOUSSE Assane	5,5	0	5,5
	A	OCAMPOS Lucas	sv/ng	0	sv/ng		C	MAZZITELLI Luca	5	-0,5	4,5
	A	PUCCIARELLI Manuel	5	0	5		C	PASALIC Mario	5,5	-0,5	5
	A	BOYE Lucas	sv/ng	0	sv/ng		C	VERRE Valerio	5	0	5
	C	NAGY Adam	5,5	0	5,5		D	FELIPE Dalbelo Dias	7	0	7
	C	NTCHAM Olivier	sv/ng	0	sv/ng		D	KRAFTH Emil Henry	5	-1	4
	C	CHOCHEV Ivajlo	6	0	6		D	GYOMBER Norbert	sv/ng	0	sv/ng
	D	STENDARDO Guglielmo	5	0	5		D	CLAITON dos Santos Machado	sv/ng	0	sv/ng
	P	CORDAZ Alex	6	-1	5		A	DEFREL Gregoire	5	0	5
	P	BIZZARRI Albano Benjamin	6,5	-3	3,5		A	FARIAS Diego da Silva	sv/ng	0	sv/ng
	D	ZAMPANO Francesco	5	0	5		A	PERICA Stipe	sv/ng	0	sv/ng
	D	VERMAELEN Thomas	4,5	-0,5	4		P	GOLLINI Pierluigi	sv/ng	0	sv/ng
	p	MARCHETTI Federico	sv/ng	0	sv/ng		p	BASSI Davide	sv/ng	0	sv/ng
	d	MESBAH Djamel	sv/ng	0	sv/ng		d	GASTALDELLO Daniele	sv/ng	0	sv/ng
	d	PASQUAL Manuel	sv/ng	0	sv/ng		d	KONKO Abdoulay	sv/ng	0	sv/ng
	c	BARELLA Nicolo'	sv/ng	0	sv/ng		d	SANTON Davide	sv/ng	0	sv/ng
	c	JOAO PEDRO Geraldino	sv/ng	0	sv/ng		c	KESSIE Franck	7	0	7
	a	SALAH Mohamed	sv/ng	0	sv/ng		a	SADIQ Umar	sv/ng	0	sv/ng
											
		Campionato: 18a Camp. (Ritorno)									
		Plineiras						Atletico Caipirinha			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	HART Joe	7	-1	6		P	PUGGIONI Christian	6	-2,5	3,5
	D	CHIELLINI Giorgio	7	0	7		D	BASTA Dusan	5,5	0	5,5
	D	DE SILVESTRI Lorenzo	5,5	0	5,5		D	COSTA Andrea	5	0	5
	DR	VESELI Frederic	4,5	0	4,5		D	DAINELLI Dario	6	0	6
	C	BROZOVIC Marcelo	6,5	1	7,5		C	BIRSA Valter	5,5	0	5,5
	C	FERNANDES Bruno Miguel	5,5	0	5,5		C	DI GENNARO Davide	6	0	6
	CR	RADOVANOVIC Ivan	6	0	6		C	STROOTMAN Kevin	6	0	6
	CR	BENALI Ahmed	5,5	0	5,5		C	SUSO Jesus	6	1	7
	A	EDER Martins Citadin	7	3	10		A	BACCA Carlos	5	0	5
	A	HIGUAIN Gonzalo	7,5	3	10,5		A	MACCARONE Massimo	5	0	5
	A	MANDZUKIC Mario	7,5	0	7,5		AR	LAPADULA Gianluca	6	0	6
				Parziale squadra	75,5					Parziale squadra	60,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0,5					Modificatore portiere	0
				Modificatore difesa	0,5					Modificatore difesa	0,5
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore attacco	1,5					Modificatore attacco	0
				Modificatore modulo	1					Modificatore modulo	1
				Totale squadra	81					Totale squadra	62
				Gol	4					Gol	0
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	MANOLAS Kostas	sv/ng	0	sv/ng		As	TROTTA Marcello	sv/ng	0	sv/ng
	Cs	ASAMOAH Kwadwo	sv/ng	0	sv/ng		P	TOZZO Andrea	sv/ng	0	sv/ng
	Cs	RINCON Tomas	sv/ng	0	sv/ng		P	VIVIANO Emiliano	sv/ng	0	sv/ng
	P	PADELLI Daniele	sv/ng	0	sv/ng		A	MARILUNGO Guido	6	0	6
	A	PJACA Marko	sv/ng	0	sv/ng		A	SIMY Tochukwu Nwankwo	sv/ng	0	sv/ng
	A	PETAGNA Andrea	7	3	10		C	BARRETO Edgar Osvaldo	6,5	0	6,5
	A	CHIESA Federico	7,5	3	10,5		C	DE GUZMAN Jonathan	6	0	6
	C	STURARO Stefano	sv/ng	0	sv/ng		C	VIVIANI Federico	4,5	-1	3,5
	C	HERNANES Anderson	sv/ng	0	sv/ng		D	GAMBERINI Alessandro	5,5	0	5,5
	C	KONDOGBIA Geoffrey	sv/ng	0	sv/ng		D	CACCIATORE Fabrizio	6	-0,5	5,5
	D	RUGANI Daniele	sv/ng	0	sv/ng		D	CEPPITELLI Luca	5	0	5
	D	BERESZYNSKI Bartosz	6	0	6		D	REGINI Vasco	6	0	6
	p	KARNEZIS Orestis	6	-1	5		d	COSIC Uros	sv/ng	0	sv/ng
	p	SCUFFET Simone	sv/ng	0	sv/ng		d	RAIMONDI Cristian	sv/ng	0	sv/ng
	d	ANTONELLI Luca	sv/ng	0	sv/ng		d	ZAPPACOSTA Davide	sv/ng	0	sv/ng
	d	BENATIA Mehdi	sv/ng	0	sv/ng		c	GAZZI Alessandro	sv/ng	0	sv/ng
	d	LAURINI Vincent	sv/ng	0	sv/ng		c	MURGIA Alessandro	sv/ng	0	sv/ng
	d	PISACANE Fabio	5,5	0	5,5		c	TAIDER Saphir	sv/ng	0	sv/ng
	c	LEMINA Mario	sv/ng	0	sv/ng		a	GILARDINO Alberto	sv/ng	0	sv/ng
	a	PALLADINO Raffaele	7	1	8						
	a	PESIC Aleksandar	sv/ng	0	sv/ng						
											
		Campionato: 18a Camp. (Ritorno)									
		Qui Quo Qua						Xeltic Panic			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	HANDANOVIC Samir	6	0	6		P	REINA Pepe	6	-1	5
	D	BONUCCI Leonardo	6,5	0	6,5		D	CONTI Andrea	6	0	6
	D	MORETTI Emiliano	6,5	-0,5	6		D	IZZO Armando	6	0	6
	D	PALETTA Gabriel	6	0	6		D	MIRANDA Joao de Souza	5,5	0	5,5
	D	ROSI Aleandro	6	-0,5	5,5		D	PERES Bruno da Silva	6	3	9
	C	CANDREVA Antonio	6	0	6		C	ALLAN Marques Loureiro	5,5	0	5,5
	C	HAMSIK Marek	6	0	6		C	DONSAH Godfred	5,5	-0,5	5
	C	KUCKA Juraj	5,5	0	5,5		C	PJANIC Miralem	6,5	-0,5	6
	CR	LOCATELLI Manuel	5	0	5		A	KALINIC Nikola	7	3	10
	A	QUAGLIARELLA Fabio	6,5	0	6,5		A	MATRI Alessandro	5	0	5
	A	SAU Marco	6,5	-0,5	6		A	TRAJKOVSKI Aleksandar	5	0	5
				Parziale squadra	65					Parziale squadra	68
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	-0,5
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore attacco	1					Modificatore attacco	0
				Modificatore modulo	0,5					Modificatore modulo	0
				Totale squadra	68,5					Totale squadra	67,5
				Gol	1					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Cs	TELLO Cristian	sv/ng	0	sv/ng		P	SEPE Luigi	sv/ng	0	sv/ng
	P	CARRIZO Juan Pablo	sv/ng	0	sv/ng		D	TOLOI Rafael	6,5	0	6,5
	P	BERNI Tommaso	sv/ng	0	sv/ng		D	PELUSO Federico	5	-0,5	4,5
	D	ABATE Ignazio	5	0	5		D	PAVLOVIC Daniel	sv/ng	0	sv/ng
	D	BARZAGLI Andrea	sv/ng	0	sv/ng		D	LUKAKU Jordan	sv/ng	0	sv/ng
	D	ANTEI Luca	4,5	0	4,5		C	PRAET Dennis	7	3	10
	C	ROHDEN Marcus	6,5	0	6,5		C	FERNANDEZ Matias Ariel	sv/ng	0	sv/ng
	C	STOIAN Adrian	7,5	3	10,5		C	ALVAREZ Ricardo Gabriel	sv/ng	0	sv/ng
	A	ITURBE Juan	5,5	0	5,5		A	PALOSCHI Alberto	sv/ng	0	sv/ng
	A	MATOS Ryder	sv/ng	0	sv/ng		A	NINKOVIC Nikola	sv/ng	0	sv/ng
	A	EL SHAARAWY Stephan	5,5	0	5,5		A	LUIS ALBERTO Romero	5,5	0	5,5
	A	CERRI Alberto	5,5	0	5,5		A	MARTINEZ Josef Alexander	sv/ng	0	sv/ng
	d	ANDELKOVIC Sinisa	sv/ng	0	sv/ng		p	RAFAEL Cabral Barbosa	sv/ng	0	sv/ng
	d	BOVO Cesare	sv/ng	0	sv/ng		d	TONELLI Lorenzo	sv/ng	0	sv/ng
	d	DANI ALVES da Silva	sv/ng	0	sv/ng		c	KUMS Sven	sv/ng	0	sv/ng
	c	CRISTANTE Bryan	sv/ng	0	sv/ng		c	SOSA Jose Ernesto	sv/ng	0	sv/ng
